,count,mean,std,min,25%,50%,75%,max,skew
feature_0,132481.0,-0.016249180676460903,0.7389832547999179,-3.8504707914713165,-0.524591146501528,0.0,0.47540885349847195,1.7859452591478415,0.02936245566067173
feature_1,132481.0,-0.07984061935415135,0.8592946697879412,-6.926928975383145,-0.5090876020437248,0.0,0.4909123979562751,1.4386160192042667,-0.9321895758447514
feature_2,132481.0,0.677360511479978,2.255272217572523,-3.984204901151835,-0.506932872530996,0.0,0.49306712746900405,8.692759763603926,2.188372721481462
feature_3,132481.0,0.04454719687720718,0.7367358473028291,-2.8357808945747687,-0.4208413869451513,0.0,0.5791586130548487,1.5514216506013556,-0.17357368879656082
feature_4,132481.0,-0.03740661578177022,0.6702978146118013,-3.6225961538461537,-0.5769230769230779,0.0,0.42307692307692213,2.85576923076923,0.03432905271334719
feature_5,132481.0,0.038234590055526804,0.7183797374709537,-3.6725146198830414,-0.5204678362573094,0.0,0.47953216374269064,3.4152046783625734,0.4571933853216739
feature_6,132481.0,0.1267526896454824,0.8672758230645027,-4.384615384615385,-0.4615384615384612,0.0,0.5384615384615388,6.230769230769233,1.143467609591279
feature_7,132481.0,0.06705675516268314,0.7671855777344851,-3.848874598070741,-0.5016077170418004,0.0,0.49839228295819954,3.733118971061094,0.5487357537791286
feature_8,132481.0,-0.010063591579500925,0.7003053117649358,-4.553557516160955,-0.5454928302204626,0.0,0.4545071697795374,3.394327346234022,-0.0708812665914753
feature_9,132481.0,-0.0034385815443478225,0.6964971611695618,-4.34246304355645,-0.5417041326475552,0.0,0.4582958673524448,3.1837751321799823,0.002610659410125053
feature_10,132481.0,-0.00636562651905012,0.7086895048516532,-4.559950855575928,-0.5416677053471274,0.0,0.4583322946528726,3.4725663716814115,-0.013478421280524745
feature_11,132481.0,0.05448761383719969,0.7845615730226133,-4.5418617987192995,-0.5052088311191824,0.0,0.4947911688808176,3.5140972952308145,0.4294738776665291
feature_12,132481.0,0.10069509579154164,0.76041889383359,-1.6976696700350724,-0.44922714255359203,0.0,0.550772857446408,24.225641327600346,1.2963694078111192
feature_13,132481.0,0.11140377844576942,0.7673521992983915,-1.6969821280585056,-0.44394090998901464,0.0,0.5560590900109854,28.59068952236799,1.7526141869277447
feature_14,132481.0,0.09098293052718066,0.7456513793072754,-2.10748961396174,-0.4577319443926764,0.0,0.5422680556073236,13.757776060353295,0.8181169535818661
feature_15,132481.0,0.030998719412925986,0.7011735333460852,-4.654315032414786,-0.47461118882265607,0.0,0.5253888111773439,10.53476643535827,0.0004423099315586723
feature_16,132481.0,-0.014522997838148336,0.6928296233191401,-4.0312891113892375,-0.5519399249061329,0.0,0.4480600750938672,3.3454317897371717,0.04456601863460304
feature_17,132481.0,0.1658793430915755,0.6795268163265972,-2.0829103214890035,-0.3840947546531305,0.0,0.6159052453468695,4.131979695431472,0.9331040108962616
feature_18,132481.0,0.28559121989867947,1.1403013270953586,-3.2280785562632692,-0.4667197452229306,0.0,0.5332802547770694,6.480042462845008,1.600639601610035
feature_19,132481.0,0.20197336154914725,1.046647386720549,-4.628691983122367,-0.43459915611814215,0.0,0.5654008438818579,10.74261603375529,1.902985418364064
feature_20,132481.0,0.24067602146723244,0.7696448500709419,-0.4999999999999963,-0.37499999999999906,0.0,0.625000000000001,73.62500000000027,12.249103536106958
feature_21,132481.0,0.2289643690146408,0.6082794386376843,-0.28571428571428514,-0.28571428571428514,0.0,0.7142857142857149,10.571428571428596,1.4126724196505742
feature_22,132481.0,0.31767915567484795,0.7329439239645195,-0.8015925680159258,-0.1959743419597436,0.0,0.8040256580402564,5.952444149524442,1.1963354148528906
feature_23,132481.0,0.39395404979271187,0.8442763280775579,-0.3235294117647053,-0.20588235294117618,0.0,0.7941176470588238,6.426470588235293,1.6224053969178676
feature_24,132481.0,0.050062305899156015,0.6689020693494928,-1.4782608695652182,-0.47826086956521735,0.0,0.5217391304347827,7.869565217391308,0.49648214277573904
